Titulo,Resumen,Autor,Fecha,Noticia,Keywords,URL,Categoria
Envían a prisión a dos hombres acusados de estrangular a otro en San Vicente,"Manuel Antonio Hernández y René Gustavo Rodríguez son enviados a prisión provisional por haber asesinado a su amigo en una discusión de ebrios, en San Vicente.",Emilce Rivera,"Nov 28, 2023- 12:30","La Fiscalía General de la República (FGR) informó que a Manuel Antonio Hernández Rodríguez y René Gustavo Rodríguez Morales les decretaron seguir en prisión preventiva mientras continúan las investigaciones, tras enfrentar un proceso por el delito de homicidio agravado en perjuicio de un hombre.De acuerdo con el informe brindado por la FGR, los hechos ocurrieron el 13 de noviembre, en la comunidad La Bóveda, de San Vicente, cuando los imputados se encontraban departiendo de bebidas alcohólicas con la víctima.En el reporte de las autoridades se detalló que la persona de 35 años, de quien se desconoce la identidad, habría sido estrangulado por Manuel Hernández y René Rodríguez.Foto EDH / Cortesía FGR.LEER: Capturan a dos hombres que fueron grabados golpeando a un señor en San Salvador   Ese 13 de noviembre, la Policía Nacional Civil (PNC) informó a las 9:55 de la noche, que se encontraban procesando una escena de homicidio en la comunidad antes mencionada e indicaron que la víctima era un hombre de 35 años.El crimen fue provocado debido a una discusión entre las tres personas, mientras consumían bebidas alcohólicas, según dijo la PNC.""La víctima es un hombre de 35 años, quién fue estrangulado por 2 sujetos. El crimen se dio tras una discusión mientras tomaban alcohol"", aseveró la Policía, en una publicación hecha en sus redes sociales.REGRESAR A LA PORTADA    MÁS SOBRE ESTE TEMA Dos hombres en aparente ebriedad habrían estrangulado a otro en San Vicente KEYWORDS  Asesinatos   Fiscalía General   Homicidios   Prisión Provisional   San Vicente   Sucesos  Ver Comentarios","[' Asesinatos ', ' Fiscalía General ', ' Homicidios ', ' Prisión Provisional ', ' San Vicente ', ' Sucesos ']",https://www.elsalvador.com/noticias/nacional/homicidios-prision-provisional-san-vicente-fiscalia-general-asesinatos/1107058/2023/,nacional
Envían a juicio a hombre que asesinó a su pareja embarazada y a su hijo de tres años,La jueza determinó la existencia de suficientes elementos que sugieren la implicación del hombre en el feminicidio agravado y el homicidio agravado.,Lissette Lemus,"Nov 28, 2023- 10:21","El Juzgado Especializado de Instrucción para una Vida Libre de Violencia y Discriminación para las Mujeres de Santa envió a juicio a Miguel Antonio Díaz Castro, de 36 años, por el asesinato de una joven embarazada y al hijo de ella, de tres años de edad.El crimen fue cometido el pasado 31 de octubre en una vivienda ubicada en el caserío El Tempisque, del cantón El Canelo, en el municipio de Nahuizalco, departamento de Sonsonate.La víctima fue identificada como Gloria Xiomara L.T., de 20 años con quien mantenía una relación sentimental.Según las investigaciones preliminares la joven embarazada fue degollada mientras que el niño de tres años fue asfixiado. El Juzgado ordenó el juicio por los delitos de feminicidio y homicidio, ambos con agravantes.En la audiencia preliminar, la jueza determinó la existencia de suficientes elementos que sugieren la implicación del imputado en la comisión de los delitos de feminicidio agravado y doble homicidio agravado, en perjuicio de la mujer mujer, su hijo de tres años y el bebé no nacido.   Los cuerpos de las víctimas fueron encontrados el 1 de noviembre a las 6:00 de la mañana cuando la madre de la joven llegó al lugar y halló la escena.Actualmente el imputado se encuentra recluido en el penal de Izalco, departamento de Sonsonate.     MÁS SOBRE ESTE TEMA Hombre fue condenado por el feminicidio de su exnovia para cobrar seguros de vida  Policía es enviado a juicio por feminicidio de su expareja  Hombre fue sentenciado a 50 años de cárcel por un doble feminicidio en Ciudad Delgado  Peter Wachowski irá a juicio acusado por el feminicidio de la exdiputada Yanci Urbina KEYWORDS  Feminicidio   Juzgados   Sucesos   Violencia De Género  Ver Comentarios","[' Feminicidio ', ' Juzgados ', ' Sucesos ', ' Violencia De Género ']",https://www.elsalvador.com/noticias/nacional/feminicidio-violencia-de-genero-juzgados/1106983/2023/,nacional
EE. UU. y El Salvador dialogan sobre lucha contra las pandillas,El presidente Bukele se limitó a compartir en X el mensaje de la embajada de EEUU.,AFP,"Nov 28, 2023- 07:44","El asesor de Seguridad de la vicepresidencia de Estados Unidos, Philip Gordon, se reunió la noche del lunes con el presidente de El Salvador, Nayib Bukele, para dialogar sobre cooperación para desmantelar las pandillas, se informó oficialmente.""Los gobiernos de El Salvador y Estados Unidos han trabajado en colaboración en esfuerzos de aplicación de la ley para resolver casos emblemáticos cruciales para el desmantelamiento de las despiadadas pandillas"", aseguró la embajada estadounidense en San Salvador por medio de la red social X, antes Twitter.Gordon llegó a San Salvador en el marco de una visita que incluyó a Guatemala para hablar también de derechos humanos, y las ""causas fundamentales de la migración"" irregular desde el norte de Centroamérica a Estados Unidos, según precisó un comunicado de la embajada norteamericana.Los gobiernos de El Salvador y Estados Unidos han trabajado en colaboración en esfuerzos de aplicación de la ley para resolver casos emblemáticos cruciales para el desmantelamiento de las despiadadas pandillas. Esta fuerte relación bilateral contribuye significativamente a la… https://t.co/KbZQUbqMFV— Embajada EEUU en ES (@USEmbassySV) November 28, 2023 Gordon consignó en X que fue una ""conversación constructiva"" con Bukele sobre el ""futuro de El Salvador"".En ese sentido, según Gordon, habló con el mandatario sobre la ""importancia del estado de derecho y el debido proceso"", las condiciones para atraer inversión extranjera, y la ""cooperación"" en materia de migración y aplicación de la ley, entre otros asuntos de interés mutuo.   Bukele se limitó a compartir en X el mensaje de la embajada de EEUU.En respuesta a una escalada de la violencia atribuida a las pandillas que dejó 87 muertos en un fin de semana, Bukele impuso en marzo de 2022 un régimen de excepción, cuestionado por organismos de derechos humanos porque permite detenciones sin orden judicial.Bajo el régimen de excepción, han sido detenidos más de 73,000 presuntos pandilleros. Más de 7,000 inocentes debieron ser liberados.""Esta fuerte relación bilateral (EEUU y El Salvador) contribuye significativamente a la seguridad de toda la región. Juntos somos más fuertes"", precisó la misión diplomática.Totalitarismo en El Salvador deterioró la participación cívica: IDEA Internacional       KEYWORDS  Estados Unidos   Nayib Bukele   Pandillas   Política   Regimen De Excepción  Ver Comentarios","[' Estados Unidos ', ' Nayib Bukele ', ' Pandillas ', ' Política ', ' Regimen De Excepción ']",https://www.elsalvador.com/noticias/nacional/estados-unidos-nayib-bukele-pandillas-regimen-de-excepcion/1106980/2023/,nacional
Sujetos robaron joyas de alta gama en El Encanto y las pusieron en venta en redes sociales,"Cuatro sujetos sospechosos de robar 60,000 dólares en efectivo y 5,000 dólares en joyas en la residencial El Encanto fueron capturados por orden de la Fiscalía.",Lissette Lemus,"Nov 28, 2023- 07:24","Cuatro hombres acusados de hurtar dinero y joyas en una residencial privada fueron capturados la madrugada de este martes, informó la Fiscalía General de la República (FGR) en sus redes sociales. Los capturados fueron identificados como: Eddy Anthony P. C., René Beltran A., Melvin Alexander P.G y German Manrique H.R. El ministerio público asegura que los sujetos aprovecharon para ingresar a la residencia y hurtar dinero en efectivo y joyas, cuando los dueños de una vivienda en la residencial El Encanto, municipio de San José Villanueva, salieron a sus trabajos.#Operativo | Esta madrugada, la @FGR_SV, en coordinación con la @PNCSV, ejecutaron un operativo en el que se logró la captura de 4 sujetos que se dedicaban a hurtar dinero y joyas en varias residenciales de La Libertad. Los capturados aprovechaban cuando los dueños de las casas… pic.twitter.com/wWkVxkxEdj— Fiscalía General de la República El Salvador (@FGR_SV) November 28, 2023 La víctima denunció  que el 25 de febrero de este año los  sujetos hurtaron en su residencia 60,000 dólares en efectivo y más de 5,000 dólares en joyas de alta gama.   El fiscal del caso aseguró que entre las joyas robadas había relojes con un valor de entre 500 dólares y más de 1,000 dólares La Fiscalía añadió  que después de cometer el hurto, los detenidos pusieron en venta las joyas a través de redes sociales. Las capturas fueron realizadas en los municipios de Santiago Texacuangos, San Salvador y San José Villanueva. Las autoridades decomisaron teléfonos y documentos que demostrarían la ruta de los objetos robados hasta llegar a los receptadores.    MÁS SOBRE ESTE TEMA Capturan a individuo que habría herido a otros cuatro con arma de fuego en Soyapango  Capturan a pandillero salvadoreño por dañar patrulla policial en Guatemala  Capturan a presunto pandillero con récord criminal en San Marcos  Funcionarios salvadoreños sacaron al ""Crook"" y le dieron un arma, señala el Departamento de Justicia de EEUU KEYWORDS  Fiscalía General   Hurtos   Robos   Sucesos  Ver Comentarios","[' Fiscalía General ', ' Hurtos ', ' Robos ', ' Sucesos ']",https://www.elsalvador.com/noticias/nacional/hurtos-residencial-encanto-robos-capturados/1106976/2023/,nacional
"Corte Suprema de Panamá declara ""inconstitucional"" contrato de mina que desató protestas",Tras el anuncio se desataron celebraciones de un grupo de manifestantes que pasaron toda la noche afuera de la corte.,AFP,"Nov 28, 2023- 08:51","La Corte Suprema de Panamá declaró este martes ""inconstitucional"" el contrato de concesión de la mina de cobre más grande de Centroamérica, cuya aprobación en el Congreso desató protestas que han tenido semiparalizado al país desde hace más de un mes.""Hemos decidido por unanimidad declarar inconstitucional toda la ley 406"" del contrato entre el Estado panameño y la minera canadiense First Quantum Minerals (FQM), anunció la presidenta del máximo tribunal, María Eugenia López, al anunciar el fallo luego de cuatro días de deliberaciones entre los nueve miembros del tribunal.Posterior al anuncio el anuncio se desataron celebraciones de un grupo de manifestantes que pasaron toda la noche afuera de la corte.""Más que una victoria de la institucionalidad, es una victoria de la democracia del pueblo"", dijo al canal Telemetro la ambientalista Raisa Banfield, quien al grito de ""sí se pudo"" con un megáfono afuera de la Corte celebró el fallo dictado el día en que Panamá conmemora su independencia de España.   Las protestas, las mayores en Panamá desde la caída del exdictador Manuel Antonio Noriega en 1989, y los bloqueos de rutas derivados de ellas han provocado pérdidas por más de 1.700 millones de dólares en el sector agropecuario, turismo y comercio, según el gremio empresarial.Tras el fallo, manifestantes comenzaron a levantar algunos bloqueos de rutas, según medios locales.Más de mil detenidos en protestas contra la minería en PanamáLas protestas estallaron el 20 de octubre cuando el Congreso aprobó el contrato firmado por el gobierno y FQM para operar por 40 años. Foto AFP/EDHMoratoria mineraEl movimiento estalló el 20 de octubre cuando el Congreso aprobó el contrato firmado por el gobierno y FQM para operar por 40 años una mina de cobre a cielo abierto en el Caribe panameño. El contrato fue rubricado en agosto por el gobierno y la compañia canadiense, después de que en 2017 la Corte Suprema declarara inconstitucional el acuerdo original de 1997.   FQM argumenta que la mina genera 50.000 empleos, aporta 5% del PIB y que el contrato incluye el pago de regalías anuales por 375 millones de dólares, diez veces más que el acuerdo inicial.La mina produce desde 2019 unas 300.000 toneladas de concentrado de cobre anuales, que representan el 75% de las exportaciones panameñas. Tiene además unos 2.500 proveedores en el país, que le venden mercancías por 900 millones de dólares anuales.Ambientalistas afirman que la mina daña severamente el medioambiente por estar en un corredor biológico que conecta a Centroamérica y México. El actor estadounidense Leonardo DiCaprio y la ambientalista sueca Greta Thunberg han hecho referencia a las protestas panameñas en sus redes sociales.Minimizando el descontento, el Congreso aprobó el 3 de noviembre una suspensión indefinida de la concesiones para explorar y explotar minas de metal. A su vez dejó en manos de la Corte Suprema el futuro del contrato de FQM y el gobierno.   Fotos impactantes: Asesinato de dos manifestantes en PanamáPanamá vive desde hace una semana una agitación social con manifestaciones, bloqueos de calles y paros laborales en rechazo a la operación el gigante minero canadiense First Quantum Minerals (FQM). Foto EDH/ AFP¿Y ahora qué? La empresa, que ha invertido en Panamá más de 10.000 millones de dólares, notificó al gobierno su ""intención"" de ""presentar demandas arbitrales"", al amparo del Tratado de Libre Comercio entre Panamá y Canadá, en vigor desde 2013.   ""Este tipo de notificaciones no son el inicio de un arbitraje, sino que por el contrario, intentan evitar la necesidad de arbitrar permitiendo que la situación se resuelva [mediante diálogo] durante el periodo de 90 días"", dijo La compañía el lunes en un comunicado.El gobierno de Laurentino Cortizo se dijo preparado ""para defender los intereses nacionales"" frente a un eventual arbitraje, que de perderlo implicaría una multimillonaria indemnización para las arcas públicas.Algunos expertos creen el gobierno tiene más fácil defender su postura tras el fallo de la corte, ya podrá alegar que la sentencia le llevó a romper el contrato.""Claro que uno tiene más fortaleza con un fallo"", afirmó a la AFP el abogado Ernesto Cedeño, quien presentó uno de los recursos de inconstitucionalidad.   Felipe Chapman, socio director de la firma de asesoría económica Indesa, dijo a la AFP que ""es un escenario complejo, pero que tiene salidas y soluciones"".""Si se cierra (la mina), se pierde su contribución al tamaño del PIB, que tomará algunos años recuperar, igual que los empleos y el ingreso fiscal"", afirmó Chapman, para quien el país puede potenciar otras actividades a mediano plazo, como el turismo.REGRESAR A LA PORTADA    KEYWORDS  Internacional   Minería   Panamá  Ver Comentarios","[' Internacional ', ' Minería ', ' Panamá ']",https://www.elsalvador.com/noticias/internacional/contrato-mina-panama-inconstitucional/1106984/2023/,internacional
"Tras liberación de rehenes por parte de Hamás, Israel libera a 39 presos palestinos",Todos los prisioneros fueron liberados de la prisión de Ofer y del centro de detención de Jerusalén,EFE,"Nov 26, 2023- 12:16"," Israel liberó este domingo a 39 presos palestinos en el marco de un acuerdo con el grupo islamista Hamás, que liberó, poco antes, a 14 rehenes israelíes y tres tailandeses, en el tercer día consecutivo de intercambios de rehenes por presos en paralelo con un alto el fuego temporal.""Todos los prisioneros fueron liberados de la prisión de Ofer y del centro de detención de Jerusalén, a excepción de un prisionero de Gaza que fue liberado en el cruce de Kerem Shalom"", indicó el servicio penitenciario israelí en un comunicado. Más temprano, Catar confirmó que entre los rehenes liberados por Hamás hay nueve niños y cuatro mujeres, entre los que figuran una niña con pasaporte de Estados Unidos, una mujer de Sudáfrica y dos nacionales de Hungría.El gobierno de Israel publicó los nombres de los 14 rehenes israelíes -cuatro mujeres, nueve menores y un hombre con doble nacionalidad rusa- que el grupo islamista Hamás liberó este domingo junto a tres tailandeses, sumando un total de 58 rehenes liberados desde el viernes pasado.   Entre los israelíes liberados se encuentran se encuentran Chen Goldstein Almog, una mujer de 48 años, junto a sus hijos Agam, de 17, Gal, de 11 años y Tal de ocho.También Hagar Brodetz, una mujer de 40 años, junto a sus hijos Ofri, de 10, Yuval, de ocho y Oriya, de cuatro.Las hermanas Dafna y Ela Elikim, de 15 y ocho años respectivamente, también fueron liberadas, así como Alma Avraham, de 84, Aviva Adrienne Siegel, de 62 y Avigail Idan, de cuatro años y con doble nacionalidad israelí-estadounidense.Ron Krivoi, un israelo-ruso de 25 años, también fue liberado, como un gesto de Hamás hacia el gobierno de Rusia.Estas personas se suman a otros 41 rehenes liberados el viernes y sábado, entre ellas 26 israelíes, 14 tailandeses y un filipino.   Los rehenes liberados hoy fueron puestos en libertad en el marco de un acuerdo de intercambio de rehenes por presos que incluye un alto el fuego temporal de cuatro días en vigor desde el pasado viernes y la entrada de ayuda humanitaria en Gaza.    KEYWORDS  Guerra En Israel   Internacional   Israel   Palestina  Ver Comentarios","[' Guerra En Israel ', ' Internacional ', ' Israel ', ' Palestina ']",https://www.elsalvador.com/noticias/internacional/tras-liberacion-de-rehenes-por-parte-hamas-israel-libera-a-39-presos-palestinos/1106635/2023/,internacional
Sale de la Franja de Gaza el segundo grupo de rehenes liberados por Hamás,"""Los representantes de la Cruz Roja acaban de trasladar a los rehenes a Egipto. Según la información recibida 17 rehenes fueron liberados, incluidos 13 israelíes y 4 tailandeses"", confirmó un portavoz militar israelí.",EFE,"Nov 25, 2023- 16:43","El segundo grupo de rehenes liberados por Hamás, 13 israelíes y 4 extranjeros, ya han salido de la Franja de Gaza y se encuentran en Egipto, donde equipos de la Cruz Roja los transfirieron a los servicios de seguridad israelíes.""Los representantes de la Cruz Roja acaban de trasladar a los rehenes a Egipto. Según la información recibida 17 rehenes fueron liberados, incluidos 13 israelíes y 4 tailandeses"", confirmó un portavoz militar israelí.El convoy de los rehenes liberados se dirige ahora hacia el cruce de Kerem Shalom, que conecta Egipto con Israel, donde representantes de seguridad verificarán la identidad de los liberados, indicó la misma fuente.En los israelíes, hoy serán liberados 8 niños y 5 mujeres, confirmó Catar, país mediador del acuerdo entre las partes.La cadena de televisión egipcia Al Qahera News mostró en directo cómo los 17 rehenes habían llegado al lado egipcio de Rafah. En las imágenes se ve un minibús y una ambulancia para atravesar el paso.   Allí médicos egipcios realizaron un chequeo médico preliminar antes de entregarlos a las autoridades israelíes.Entre los primeros rehenes confirmados se encuentran Sharon Avigdori, de 52 años, y su hija de 12, Noam Avigdori; así como los hermanos Noam Or, de 17 años, y Alma Or, de 13, cuya madre Yonat fue asesinada y su padre Dron y su prima permanecen en cautiverio.También fueron liberadas las menores Hila Rotem, de 13 años; y Emily Hand, de 9.Todos son del kibutz Beeri, donde Hamás cometió una de sus peores masacres el pasado 7 de octubre, confirmó el foro de los familiares de rehenes y desaparecidos.Como contrapartida, ahora Israel debería excarcelar a una segunda tanda de 39 presos palestinos, 6 mujeres y 33 adolescentes, según lo pactado hoy.   Ayer salió la primera tanda de 13 rehenes israelíes -además de 10 tailandeses y un filipino-, a cambio de la puesta en libertad de 39 prisioneros palestinos, como parte de un acuerdo para liberar a 50 cautivos por 150 presos durante cuatro días de tregua. EFE    KEYWORDS  Guerra En Israel   Internacional  Ver Comentarios","[' Guerra En Israel ', ' Internacional ']",https://www.elsalvador.com/noticias/internacional/guerra-en-israel-/1106441/2023/,internacional
"Catar confirma que hoy se liberarán 20 rehenes y 39 prisioneros tras ""superar obstáculos""",Hamás retrasó la entrega de una segunda tanda de rehenes,EFE,"Nov 25, 2023- 13:52","Majed al Ansari, portavoz del Ministerio de Exteriores de Catar, país mediador en el acuerdo entre el grupo islamista Hamás e Israel, afirmó que tras ""un retraso"" se procederá hoy a un segundo canje de rehenes israelíes con prisioneros palestinos al ""superar los obstáculos"" que provocaron que Hamás retrasara el intercambio.""Tras un retraso en la implementación de la liberación de prisioneros de ambos lados, los obstáculos fueron superados a través de las comunicaciones cataríes-egipcias con ambos lados, y esta noche 39 civiles palestinos serán liberados a cambio de la liberación de 13 detenidos israelíes de Gaza además de 7 extranjeros fuera del marco del acuerdo"", afirmó el responsable catarí en su cuenta oficial de X (antes Twitter).Entre los excarcelados de prisiones israelíes hay ""33 niños y 6 mujeres"", mientras que los rehenes israelíes en manos de Hamás que serán liberados son 8 niños y 5 mujeres, además de los 7 extranjeros, de los cuales no dio detalles.   Un responsable egipcio aseguró a EFE que los vehículos del Comité Internacional de Cruz Roja (CICR) ya han comenzado a moverse para recibir a los rehenes.Hamás retrasó la entrega de una segunda tanda de rehenes, prevista para las 14 GMT, y acusó a Israel de violar los términos del acuerdo que alcanzaron relativos a la entrada de ayuda humanitaria y la excarcelación de presos palestinos con más antigüedad en las cárceles.Después de varias horas de silencio tras ese anuncio de Hamás, el Gobierno israelí informó de que el primer ministro Benjamín Netanyahu realizó esta tarde ""una evaluación de la situación con todos los elementos de seguridad para verificar que la segunda fase avanza según lo previsto"".Según medios hebreos, Israel había amenazado al grupo islamista con retomar la ofensiva militar en Gaza si no libera a la segunda tanda de cautivos antes de la medianoche.   Las partes pactaron esta semana, con la mediación de Egipto, Catar y EEUU, el intercambio de 50 rehenes israelíes por 150 presos palestinos, durante cuatro días de tregua, y la entrada de 200 camiones diarios de ayuda humanitaria en la Franja de Gaza.El grupo islamista lamentó que la ayuda que ha llegado hasta el norte de la Franja ha sido ""mucho menos de lo acordado"", acusó a Israel de no cumplir el criterio de antigüedad al excarcelar a los 39 presos de ayer; así como de violar la tregua al matar a dos gazatíes por disparos cuando intentaban visitar sus hogares en el norte del enclave aprovechando la pausa en los combates.    KEYWORDS  Grupo Terrorista Hamás   Hamás   Internacional   Israel  Ver Comentarios","[' Grupo Terrorista Hamás ', ' Hamás ', ' Internacional ', ' Israel ']",https://www.elsalvador.com/noticias/internacional/catar-confirma-que-hoy-se-liberaran-20-rehenes-y-39-prisioneros-tras-superar-obstaculos/1106413/2023/,internacional
Precios de gasolinas bajan y son similares a los de enero de 2023,"El precio del diesel en la zona occidental es el que tendrá la mayor disminución en el año, con una reducción del 6.98% del 1 de enero a la fecha.",Alfredo Hernández,"Nov 27, 2023- 20:39","La Dirección General de Energía, Hidrocarburos y Minas (DGHM), del Ministerio de Economía, informó ayer que en la próxima quincena, del 28 de noviembre al 11 de diciembre, los precios de los combustibles experimentarán una baja. Esto comparado a los precios del inicio del año, la disminución es baja.Según el anuncio de la institución, el precio del diésel presentará una reducción de $0.21 por cada galón en la zona central, llegando a un precio de $4.01; mientras que el costo de la gasolina superior baja a los $3.86 ($0.10 ctvs. menos); y la regular baja a los $3.75 ($0.10 ctvs. menos), con respecto a la quincena anterior.Según los precios vigentes desde el 1 de enero en la zona central, existe una reducción del -6.74% en el diesel, -0.77% en la superior y un -2.85%.Precio de la gasolina bajará hasta 11 centavos de dólarPara la zona occidental, donde existe la mayor disminución con respecto al diesel en este año del 1 de enero a la fecha, el pre- cio pasó de $4.31 en enero a $4.01 para esta quincena, con una disminución del -6.98%; con respecto a la gasolina superior, ha pasado de $3.90 a $3.687 (-0.77%) y la gasolina regular de $3.87 a $3.75 (-3.1%).Mientras que para la zona oriental, donde se contemplan los precios más altos siempre, el diesel pasó del 1 de enero de $4.34 al vigente hasta el 11 de diciembre de $4.05 (-6.68%), mientras que la gasolina superior disminuyó de $3.94 a 3.90 (-1.02%) y la regular de $3.90 a $3.76 (-2.82%).Desde el pasado 5 de septiembre, hay registro de bajas consecutivas en el costo de la gasolina súper y en la regular; mientras que el diésel ha tenido otro comportamiento, pues solo ha tenido rebaja en las últimas cuatro quincenas.A partir del 1 de enero, el decreto que mantuvo fijos los precios de los combustibles dejó de estar vigente, por lo que los salvadoreños volvieron a pagar lo correspondiente a impuestos como el IVA, el del Fondo de Estabilización para el Fomento Económico (FEFE), y el de la Contribución Especial para el Transporte (Cotrans), así como el del Fovial.       MÁS SOBRE ESTE TEMA Precios de gasolinas y diésel disminuyen a partir del 31 de octubre  Precio de la gasolina bajará hasta 11 centavos y el del diésel hasta 22 centavos  Pipa con gasolina volcó en carretera hacia Santa Elena, Usulután KEYWORDS  Combustibles   El Salvador   Gasolina   Negocios   Precios  Ver Comentarios","[' Combustibles ', ' El Salvador ', ' Gasolina ', ' Negocios ', ' Precios ']",https://www.elsalvador.com/noticias/negocios/gasolina-combustibles-precios-el-salvador-/1106937/2023/,negocios
Un Black Friday con menos afluencia por el alto costo de la vida,La concurrencia a los centros comerciales del país fue menor a la de años anteriores para Black Friday. Comprar alimentos esenciales y pagar servicios acapara un porcentaje demasiado alto del salario de los salvadoreños. La Defensoría del Consumidor comprobó que la gran mayoría de comercios cumplen con las ofertas publicitadas.,Moisés Alvarado,"Nov 24, 2023- 17:37","El Black Friday de 2023 estuvo marcado, además de por descuentos, por una bajada en el poder adquisitivo de las familias salvadoreñas. Esto tuvo su expresión visual en una afluencia no tan grande en los centros comerciales del país. Metrocentro San Salvador, el icono local de estos sitios, fue un elocuente ejemplo. Abrió sus puertas a las 5 de la mañana.Hubo familias que llegaron desde la madrugada para estar entre los primeros en adquirir las mejores ofertas. Álex Mariona estaba en el sitio desde una hora antes de que se habilitara el acceso. La sonrisa bajo el bigote y la gorra era notoria, pues, dijo, logró comprar varios pares de zapatos a mitad de precio.Alex Mariona llego a las 4 am para hacer cola. Él comentó que logró comprar varios pares de zapato a mitad de precio Foto EDH/ Francisco RubioEn los locales, el cartel más común era el que marcaba el 40 % de descuento. Otras tiendas, sobre todo las zapatería, ofrecían ofertas escalonadas. Por ejemplo, el primer par a 30 % menos; el segundo al 50%; el tercero al 70. Por eso, no sorprendía que la bolsa negra de MD, que fue una de las que implementó esta modalidad, se repitiera más entre aquellas personas que llevaban más bultos.LEA MÁS: Centros comerciales están listos para un nuevo y extendido Black FridayCarlos Arévalo afirma que el Black Friday se ha convertido en su día específico para adquirir productos que no están entre aquellos de primera necesidad, como los electrónicos. Por eso, dice, ahorra durante todo el año para poder hacer compras al contado que no aumenten sus deudas.Claudia ayuda a su esposo Francisco a medirse un par de zapatos. Foto EDH/ Francisco Rubio“Es una cuestión de disciplina, no es que uno tenga eso allí disponible solo para venir a gastar. Son compras en las que hemos pensado mucho”, comenta, mientras mira a su acompañante, que junto a él cuida varias bolsas de Almacenes Siman. Y ahorrar ha sido una tarea difícil todo este año.Según afirma, en 2022 ocupaba un promedio de $100 cada 15 días solo para adquirir comida. Esa cifra se ha duplicado este año: ha llegado a gastar $200 o $250 en el mercado solo por lo más básico.Lo expresado por Arévalo se condice con las cifras oficiales: La canasta básica urbana pasó de costar $213.43 en enero de 2022 a $257.81 en octubre de 2023. Es decir que los salvadoreños deben destinar casi $45 dólares más solo en alimentos esenciales en apenas 22 meses.“Sí, se mira menos afluencia que el año pasado. Creo que es porque la gente no tiene, en este momento, para andar gastando más que en lo estrictamente necesario”, dice Arévalo.Leonardo Nolasco espera mientras sus familiares hacen fila para reclamar sus premios, obtenidos gracias a compras mayores a los 25 dólares. Son promocionales de marcas patrocinadoras, como Tigo. Se queja porque no encontró todas las promociones que esperaba, aunque sí algunas, sobre todo en ropa y zapatos. También es otro de los afectados por el aumento del costo de la vida.“Aprovechamos de venir ahora porque así nos ahorramos algunas fichitas, que, en estos tiempos, no caen mal”, comenta.El concejal de Chalatenango, Joel Aguilar busca la manera de que entren en su baúl los 300 pares de zapatos que compró durante el Black Friday. Él comentó que lleva los zapatos para revenderlos en su negocio en Nueva Concepción, Chalatenango. Foto EDH/ Francisco RubioEl salvadoreño promedio ha tenido que ir ajustando sus ingresos al aumento de gastos. Algunos, por ejemplo, han modificado su dieta, sacando del presupuesto los alimentos de mayor valor. En este grupo se encuentran, sobre todo, los compuestos en su mayoría de proteínas, que tienen origen animal.Según datos recogidos por el no gubernamental Centro para la Defensa del Consumidor, los salvadoreños han dejado de consumir carne de res en un 75.3 %; 40.3 %, en el tema del pollo; 32.2 %, respecto a los huevos; y el 23 % ya no come lácteos. La dieta ahora la conforman, sobre todo, opciones ricas en carbohidratos, que son más baratas.Las tiendas hicieron su mayor esfuerzo para ofrecer precios bajos a sus clientes. Para Julio González, vendedor en una tienda de Omnisport, el día había estado ajetreado desde temprano, pues las personas comenzaron a llegar apenas abrieron sus puertas. Este viernes vendió mucho más que cualquier otro día del 2023. Los clientes aumentaron, al menos en comparación con un día normal de fin de semana.Y Metrocentro San Salvador estuvo listo para recibirlos con estilo, con sus kioskos de café y galletas gratis y su variada oferta de entretenimiento en vivo, que incluyó a artistas salvadoreños como Gaby Tobar, Rocío Cáceres, Florence Umaña y Carlos Ruano.Respeto en las ofertasSegún publicó la Defensoría del Consumidor en sus redes sociales, esta semana realizaron 137 inspectorías en diversos comercios a escala nacional.La tónica es una de cumplimiento: casi el 94 % de los locales aprobó los diferentes criterios evaluados, como contar con precios acordes a los que ofrecía en la publicidad, ofertas reales y “buenas prácticas hacia los consumidores”.Por tanto, solo en el 6 % de los casos se activó un proceso sancionador. El sector con más faltas fue el de las ópticas (4), seguido por almacenes (3). A una tienda de tecnología y a un restaurante también se les encontraron hallazgos.En Metrocentro, la entidad contó ayer con un kiosko de atención al usuario. Según las técnicas que se encontraban en el lugar, su función era responder de manera automática ante las quejas. La idea es que todas las advertencias de clientes insatisfechos se transformaran en inspecciones a los negocios.Los mostradores de los locales lucen aglomerados de personas. Foto EDH/ Francisco RubioVOLVER A LA PORTADA    MÁS SOBRE ESTE TEMA Centros comerciales están listos para un nuevo y extendido Black Friday  Salvadoreños buscan las mejores ofertas en Black Friday  Gobierno anuncia operativo especial por Black Friday y concierto de Bad Bunny KEYWORDS  Black Friday   Comercio   El Salvador   Negocios   Pobreza  Ver Comentarios","[' Black Friday ', ' Comercio ', ' El Salvador ', ' Negocios ', ' Pobreza ']",https://www.elsalvador.com/noticias/negocios/black-friday-el-salvador-pobreza-comercio/1106338/2023/,negocios
